j_family,j_5p_del,proportions
IGHJ1,0,0.16089287352706014
IGHJ1,1,0.06948212811136015
IGHJ1,2,0.06940348393692737
IGHJ1,3,0.11832016043411585
IGHJ1,4,0.05096142503244072
IGHJ1,5,0.11871338130627973
IGHJ1,6,0.1452557901773426
IGHJ1,7,0.05682041602768275
IGHJ1,8,0.05240323489704167
IGHJ1,9,0.05149882689106471
IGHJ1,10,0.031837783282869986
IGHJ1,11,0.015623975987312072
IGHJ1,12,0.009253797858256982
IGHJ1,13,0.010564534098803298
IGHJ1,14,0.010879110796534414
IGHJ1,15,0.0061604603305676795
IGHJ1,16,0.010014024877773845
IGHJ1,17,0.007523626020735847
IGHJ1,18,0.003814242459989776
IGHJ1,19,0.0005767239458403786
IGHJ2,0,0.1506276150627615
IGHJ2,1,0.11450812493918458
IGHJ2,2,0.2626447406830787
IGHJ2,3,0.1487139567318608
IGHJ2,4,0.09430767733774448
IGHJ2,5,0.11209496934903182
IGHJ2,6,0.023366092569167395
IGHJ2,7,0.02199734033926892
IGHJ2,8,0.016476922577924817
IGHJ2,9,0.019039278648113913
IGHJ2,10,0.014848691252310985
IGHJ2,11,0.0059290973370957805
IGHJ2,12,0.004605753948947488
IGHJ2,13,0.003691090136550874
IGHJ2,14,0.0013038824559696409
IGHJ2,15,0.0018293276247932275
IGHJ2,16,0.0015244396873276896
IGHJ2,17,0.0008368200836820083
IGHJ2,18,0.0008757419480393111
IGHJ2,19,0.0006486977392883786
IGHJ2,20,0.00012973954785767573
IGHJ3,0,0.29957415890157313
IGHJ3,1,0.18456629981146974
IGHJ3,2,0.1139780472834502
IGHJ3,3,0.1828977996012592
IGHJ3,4,0.15743376171355997
IGHJ3,5,0.014565318340757841
IGHJ3,6,0.013053560468117583
IGHJ3,7,0.007979210399487877
IGHJ3,8,0.0052691793293478785
IGHJ3,9,0.0042173942978016524
IGHJ3,10,0.005543112199680949
IGHJ3,11,0.0013242530202197615
IGHJ3,12,0.0036871071370499333
IGHJ3,13,0.005910797496224267
IGHJ4,0,0.1483997222397576
IGHJ4,1,0.043236098118996924
IGHJ4,2,0.055724596511163016
IGHJ4,3,0.056985230118239395
IGHJ4,4,0.11515113256164958
IGHJ4,5,0.14264901397026894
IGHJ4,6,0.12026827201374263
IGHJ4,7,0.08831245349141946
IGHJ4,8,0.09419630303412893
IGHJ4,9,0.021316759540356535
IGHJ4,10,0.05687427905722205
IGHJ4,11,0.02804115901773878
IGHJ4,12,0.02883618075840789
IGHJ4,13,5.738847983655761e-06
IGHJ4,14,2.2955391934623043e-06
IGHJ4,15,7.651797311541015e-07
IGHJ5,0,0.13388152665577988
IGHJ5,1,0.07475179559807506
IGHJ5,2,0.1692284347587323
IGHJ5,3,0.0926904345564114
IGHJ5,4,0.18412792462100958
IGHJ5,5,0.12936109946963018
IGHJ5,6,0.06023671546454326
IGHJ5,7,0.03566339581195717
IGHJ5,8,0.031817853375146324
IGHJ5,9,0.01791118112056881
IGHJ5,10,0.006374553810136277
IGHJ5,11,0.005059467896007052
IGHJ5,12,0.007506105756029885
IGHJ5,13,0.010121826090726477
IGHJ5,14,0.011395002673526309
IGHJ5,15,0.029872682341720018
IGHJ6,0,0.06689675446399597
IGHJ6,1,0.042644380729128885
IGHJ6,2,0.05924277189620088
IGHJ6,3,0.08133196400551294
IGHJ6,4,0.11109040999660214
IGHJ6,5,0.10354179949528307
IGHJ6,6,0.07617789553657671
IGHJ6,7,0.06896219968006598
IGHJ6,8,0.055386001550038366
IGHJ6,9,0.03726735107605496
IGHJ6,10,0.0352652818130104
IGHJ6,11,0.026911873064838183
IGHJ6,12,0.028032787511119425
IGHJ6,13,0.041641055400509296
IGHJ6,14,0.038947959179777725
IGHJ6,15,0.02461812170473678
IGHJ6,16,0.030863325557689298
IGHJ6,17,0.028176337862550537
IGHJ6,18,0.00749821516517835
IGHJ6,19,0.007895269328711216
IGHJ6,20,0.006284909269305804
IGHJ6,21,0.007171409045962837
IGHJ6,22,0.006601025468733894
IGHJ6,23,0.0016195228477946313
IGHJ6,24,0.001030050128088146
IGHJ6,25,0.002360945141622348
IGHJ6,26,0.001182763267908479
IGHJ6,27,0.0004405774083816607
IGHJ6,28,0.0005986355080957053
IGHJ6,29,0.0002787014801721077
IGHJ6,30,3.970541635328658e-05
