d_family,d_5p_del,proportions
IGHD1,0,0.054765037842993525
IGHD1,1,0.05796910739991699
IGHD1,2,0.07836634843814856
IGHD1,3,0.1861698651429379
IGHD1,4,0.09975978309826815
IGHD1,5,0.11570241364997218
IGHD1,6,0.13004919147583258
IGHD1,7,0.08969010253375842
IGHD1,8,0.038011675247944465
IGHD1,9,0.041802156653213345
IGHD1,10,0.043275251477069
IGHD1,11,0.03654299617595888
IGHD1,12,0.007065202992113467
IGHD1,13,0.005335111409419682
IGHD1,14,0.008228312034690146
IGHD1,15,0.0035767590147574428
IGHD1,16,0.001352986372989729
IGHD1,17,0.0023376990400155433
IGHD2,0,0.15800678224704176
IGHD2,1,0.07736178285767821
IGHD2,2,0.035754855396269596
IGHD2,3,0.10272410775976726
IGHD2,4,0.12455059666709606
IGHD2,5,0.1684478290619453
IGHD2,6,0.09963913895241552
IGHD2,7,0.06565680223911186
IGHD2,8,0.15889262334438056
IGHD2,9,0.008936204384202416
IGHD2,11,2.425816036149678e-05
IGHD2,12,4.182441441637376e-06
IGHD2,16,8.364882883274751e-07
IGHD3,0,0.17999064131313317
IGHD3,1,0.24275461401493745
IGHD3,2,0.07792626083997253
IGHD3,3,0.18760520926388458
IGHD3,4,0.07757986788451138
IGHD3,5,0.08062447965093314
IGHD3,6,0.033454267014275035
IGHD3,7,0.03227531555182828
IGHD3,8,0.011351965628095506
IGHD3,9,0.027194885538397964
IGHD3,10,0.04895687103851039
IGHD3,11,8.507897151677575e-05
IGHD3,12,9.723311030488657e-05
IGHD3,13,6.684776333460952e-05
IGHD3,14,3.646241636433246e-05
IGHD4,0,0.12990269709609176
IGHD4,1,0.055143582656872074
IGHD4,2,0.23841266929977958
IGHD4,3,0.1843442568518384
IGHD4,4,0.197461333400795
IGHD4,5,0.0803499995256602
IGHD4,6,0.114262132821468
IGHD4,7,2.2135857242694375e-05
IGHD4,8,3.478491852423402e-05
IGHD4,9,1.8973591922309466e-05
IGHD4,10,4.7433979805773663e-05
