j_family,j_5p_del,proportions
IGHJ1,0,0.23843240540222854
IGHJ1,1,0.06992256061967442
IGHJ1,2,0.22730161513006508
IGHJ1,3,0.09257064077252107
IGHJ1,4,0.07348274000330716
IGHJ1,5,0.17075512859081046
IGHJ1,6,0.040393193622358006
IGHJ1,7,0.02351471587298109
IGHJ1,8,0.021582217830382455
IGHJ1,9,0.013405958070769273
IGHJ1,10,0.004494552148559293
IGHJ1,11,0.004343139930788678
IGHJ1,12,0.005197822054783331
IGHJ1,13,0.00355818711760944
IGHJ1,14,0.0018388615395036468
IGHJ1,15,0.00389288780952343
IGHJ1,16,0.002836986817175724
IGHJ1,17,0.000691316310084253
IGHJ1,18,0.0012112977421649157
IGHJ1,19,0.0003486465540770728
IGHJ1,20,0.00022512606063262416
IGHJ2,0,0.2769315736312462
IGHJ2,1,0.08060422651406114
IGHJ2,2,0.07943467962487867
IGHJ2,3,0.0694964844680629
IGHJ2,4,0.11662784584820698
IGHJ2,5,0.077865439101851
IGHJ2,6,0.06573877362967105
IGHJ2,7,0.043752670366950255
IGHJ2,8,0.09451868420068164
IGHJ2,9,0.01911047492660798
IGHJ2,10,0.04530812835087982
IGHJ2,11,0.010530844338034492
IGHJ2,12,0.008966526150399005
IGHJ2,13,0.006515203125092294
IGHJ2,14,0.0036051184412342068
IGHJ2,15,0.0009933272821423579
IGHJ3,0,0.2988806081383217
IGHJ3,1,0.08741243106275152
IGHJ3,2,0.026039648233715903
IGHJ3,3,0.16879713817260397
IGHJ3,4,0.11485318229244298
IGHJ3,5,0.14726635862274556
IGHJ3,6,0.032273066030705025
IGHJ3,7,0.022050976300491878
IGHJ3,8,0.058490087941571026
IGHJ3,9,0.013817260396482338
IGHJ3,10,0.006087345356983157
IGHJ3,11,0.006568788194961992
IGHJ3,12,0.0070725890594723504
IGHJ3,13,0.005941272916977195
IGHJ3,14,0.003420778059323297
IGHJ3,15,0.0010284692204501416
IGHJ4,0,0.1447068877692666
IGHJ4,1,0.07002199277207907
IGHJ4,2,0.09095978774922929
IGHJ4,3,0.10591656265767321
IGHJ4,4,0.1731586786954979
IGHJ4,5,0.07426966373510177
IGHJ4,6,0.07905689392531148
IGHJ4,7,0.051080687642283094
IGHJ4,8,0.12293500906507784
IGHJ4,9,0.02210261523271057
IGHJ4,10,0.015934499682541216
IGHJ4,11,0.016151771854562836
IGHJ4,12,0.008857462212748083
IGHJ4,13,0.013286193319122125
IGHJ4,14,0.0023211910377643175
IGHJ4,15,0.0013470874665340502
IGHJ4,16,0.0028800633469088207
IGHJ4,17,0.001150335444092249
IGHJ4,18,0.001164820255560357
IGHJ4,19,0.0016053999377153108
IGHJ4,20,0.0007713162106767546
IGHJ4,21,0.00032107998754306213
