v_family,v_3p_del,proportions
IGHV1,0,0.7586989041261295
IGHV1,1,0.1084997864599987
IGHV1,2,0.05062262003519497
IGHV1,3,0.025393595588777858
IGHV1,4,0.039540452973125265
IGHV1,5,0.008012110289497634
IGHV1,6,0.004902699548100165
IGHV1,7,0.001810729770159406
IGHV1,8,0.0010647931792416758
IGHV1,9,0.0003403223895014344
IGHV1,10,0.00016949038846392068
IGHV1,11,0.00013684448250649006
IGHV1,12,0.00016412393816954852
IGHV1,13,8.944083823953598e-05
IGHV1,14,0.00014757738309523438
IGHV1,15,9.12296550043267e-05
IGHV1,16,3.622353948701207e-05
IGHV1,17,7.513030412121022e-05
IGHV1,18,1.6546555074314156e-05
IGHV1,19,1.7888167647907196e-05
IGHV1,20,1.6993759265511836e-05
IGHV1,21,6.7080628679651986e-06
IGHV1,22,1.4310534118325757e-05
IGHV1,23,9.838492206348958e-06
IGHV1,24,6.260858676767519e-06
IGHV1,25,2.2360209559883995e-06
IGHV1,26,4.919246103174479e-06
IGHV1,28,4.472041911976799e-07
IGHV1,29,1.1627308971139678e-05
IGHV1,30,2.2360209559883995e-06
IGHV1,31,8.944083823953598e-07
IGHV1,32,2.6832251471860794e-06
IGHV1,35,4.472041911976799e-07
IGHV1,36,1.1180104779941998e-05
IGHV1,37,8.049675441558238e-06
IGHV1,38,4.472041911976799e-07
IGHV1,39,4.472041911976799e-07
IGHV1,40,1.3416125735930397e-06
IGHV1,41,1.7888167647907196e-06
IGHV1,42,1.7888167647907196e-06
IGHV1,43,1.3416125735930397e-06
IGHV1,44,4.472041911976799e-07
IGHV1,45,1.3416125735930397e-06
IGHV1,46,1.3416125735930397e-06
IGHV1,47,1.3416125735930397e-06
IGHV1,48,7.1552670591628785e-06
IGHV1,49,3.5776335295814392e-06
IGHV1,50,8.944083823953598e-07
IGHV1,51,8.944083823953598e-07
IGHV1,52,2.6832251471860794e-06
IGHV1,54,4.919246103174479e-06
IGHV1,55,4.472041911976799e-07
IGHV1,56,1.7888167647907196e-06
IGHV1,58,4.472041911976799e-07
IGHV1,59,3.1304293383837593e-06
IGHV1,60,4.472041911976799e-07
IGHV1,61,1.7888167647907196e-06
IGHV1,62,4.472041911976799e-07
IGHV1,63,4.472041911976799e-07
IGHV1,64,1.3416125735930397e-06
IGHV1,66,8.944083823953598e-07
IGHV1,67,2.6832251471860794e-06
IGHV1,68,1.3416125735930397e-06
IGHV1,70,4.472041911976799e-07
IGHV1,71,1.3416125735930397e-06
IGHV1,72,4.472041911976799e-07
IGHV1,74,1.3416125735930397e-06
IGHV1,75,4.472041911976799e-07
IGHV1,76,1.7888167647907196e-06
IGHV1,77,8.944083823953598e-07
IGHV1,78,4.472041911976799e-07
IGHV1,79,4.472041911976799e-07
IGHV1,81,4.472041911976799e-07
IGHV1,83,1.3416125735930397e-06
IGHV1,84,2.6832251471860794e-06
IGHV1,85,2.2360209559883995e-06
IGHV1,86,8.944083823953598e-07
IGHV1,87,1.3416125735930397e-06
IGHV1,89,8.944083823953598e-07
IGHV1,91,4.472041911976799e-07
IGHV1,92,8.944083823953598e-07
IGHV1,93,1.7888167647907196e-06
IGHV1,95,4.472041911976799e-07
IGHV1,96,4.472041911976799e-07
IGHV1,97,1.3416125735930397e-06
IGHV1,98,8.944083823953598e-07
IGHV10,0,0.5510477127397934
IGHV10,1,0.1518544023610428
IGHV10,2,0.12202656173143138
IGHV10,3,0.1033546483030005
IGHV10,4,0.02000983767830792
IGHV10,5,0.023334972946384654
IGHV10,6,0.01660600098376783
IGHV10,7,0.005391047712739794
IGHV10,8,0.003325135268076734
IGHV10,9,0.0015937038858829316
IGHV10,10,0.0003148057058534186
IGHV10,11,0.0003148057058534186
IGHV10,12,0.00013772749631087063
IGHV10,13,0.00017707820954254795
IGHV10,14,0.00011805213969503198
IGHV10,15,3.9350713231677326e-05
IGHV10,16,3.9350713231677326e-05
IGHV10,17,1.9675356615838663e-05
IGHV10,21,1.9675356615838663e-05
IGHV10,22,7.870142646335465e-05
IGHV10,24,1.9675356615838663e-05
IGHV10,28,1.9675356615838663e-05
IGHV10,34,1.9675356615838663e-05
IGHV10,47,1.9675356615838663e-05
IGHV10,50,1.9675356615838663e-05
IGHV10,56,1.9675356615838663e-05
