np1_length,prop
0,0.09383136007434834
1,0.08896354330923148
2,0.10336915302263452
3,0.11637433477244075
4,0.13550524572542616
5,0.10987577000164483
6,0.09160485627823053
7,0.07891511539346423
8,0.04726491724790676
9,0.03519155028656782
10,0.02980867598397501
11,0.0190867458943793
12,0.012494381159776132
13,0.01387541369230699
14,0.006824359753588661
15,0.004854725183655403
16,0.004216677930980186
17,0.0020835326009255644
18,0.001556780058645015
19,0.0014222066024719637
20,0.0011666338761691542
21,0.00043404028540819736
22,0.00042149023214276487
23,0.00048736744183417276
24,0.00022204476457406017
25,0.00022136889528601007
